,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
43539,10830637,Female,,,Young,8 Years 10 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,True,,,,,2,0,2017-01-01 00:00:00+00:00,2016-11-27 00:00:00+00:00,35.0
43540,10830645,Female,,,Young,8 Years 10 Months,Domestic Short Hair / Tabby (short coat),white with brown tabby markings,,,,,False,True,False,True,True,,,,,1,0,2017-01-21 00:00:00+00:00,2016-11-27 00:00:00+00:00,55.0
43542,10830660,Male,,Medium,Baby,6 Years 4 Months,Tabby / Mixed (medium coat),,Some,,Moderate,Moderate,False,,False,True,,All,,,Cautious,3,0,2019-03-29 00:00:00+00:00,2019-01-01 00:00:00+00:00,87.0
43544,10830700,Female,,Medium,Baby,6 Years 4 Months,Tabby (short coat),,Some,,Moderate,,False,,False,True,True,All,,,Friendly,1,0,2016-12-13 00:00:00+00:00,2016-12-08 00:00:00+00:00,5.0
43547,10830797,Female,,Medium,Baby,6 Years 4 Months,Tabby (medium coat),,Some,,Moderate,Moderate,False,,False,True,,All,,,Friendly,1,0,2016-12-10 00:00:00+00:00,2016-12-06 00:00:00+00:00,4.0
43574,10831187,Male,8.0,Medium,Young,6 Years 11 Months,Domestic Short Hair / Mixed,,,,Moderate,,False,,,True,,All,,,,4,0,2016-12-08 00:00:00+00:00,2016-11-29 00:00:00+00:00,9.0
43648,10831703,Female,,,,7 Years 11 Months,Siamese,,,,,,False,,False,,,,,,,7,0,2016-12-03 00:00:00+00:00,2016-11-27 00:00:00+00:00,6.0
43650,10831766,Male,,Large,Adult,8 Years,Domestic Medium Hair / Mixed (medium coat),,,,Moderate,,False,True,False,True,,All,,,Friendly,4,0,2016-12-30 00:00:00+00:00,2016-11-28 00:00:00+00:00,32.0
43654,10831980,Male,,Small,Baby,6 Years 2 Months,Domestic Short Hair / Mixed,,,,Moderate,,False,,,True,,All,,,,5,1,2017-01-05 00:00:00+00:00,2016-12-04 00:00:00+00:00,32.0
43660,10832034,Male,,Medium,Young,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),,,,,,False,True,False,True,True,All,Has Basic Training,,Friendly,2,0,2017-01-05 00:00:00+00:00,2016-11-28 00:00:00+00:00,38.0
43663,10832071,Male,,Medium,Young,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),,Some,,,,False,True,False,True,,,Has Basic Training,,Friendly,2,0,2017-03-12 00:00:00+00:00,2016-11-28 00:00:00+00:00,104.0
43684,10832562,Female,2.140000104904175,Medium,Young,9 Years 6 Months,Siamese (medium coat),"Blue point tips of ears, nose, paws and tail dark",Quiet,,Moderate,Moderate,False,,False,True,,All,,,Friendly,2,0,2017-01-21 00:00:00+00:00,2017-01-21 00:00:00+00:00,0.0
43697,10832634,Male,,Large,Adult,10 Years 1 Month,Domestic Short Hair (short coat),,,,,,,,,,,All,,,,8,0,2018-07-08 00:00:00+00:00,2016-11-28 00:00:00+00:00,587.0
43720,10833031,Female,8.0,Medium,Young,8 Years 3 Months,Domestic Short Hair / Mixed,,,,,,,,,,True,,,,,3,0,2017-01-04 00:00:00+00:00,2016-12-01 00:00:00+00:00,34.0
43731,10833092,Male,9.850000381469728,,Young,7 Years 6 Months,Domestic Short Hair (short coat),Black,,,,,,,,,,,,,,1,0,2016-12-13 00:00:00+00:00,2016-11-28 00:00:00+00:00,15.0
43734,10833122,Female,,Medium,Adult,8 Years 6 Months,Domestic Medium Hair / Tabby / Mixed (medium coat),,,,Moderate,,False,True,False,True,True,All,,,Friendly,1,0,2016-12-27 00:00:00+00:00,2016-11-27 00:00:00+00:00,30.0
43747,10833354,Male,,Medium,Young,7 Years 10 Months,Siamese / Mixed (short coat),,,,Moderate,Not Required,False,True,False,True,True,All,Has Basic Training,,Friendly,1,0,2016-12-03 00:00:00+00:00,2016-11-28 00:00:00+00:00,5.0
43749,10833415,Female,,Medium,Adult,8 Years 6 Months,Siamese / Mixed,,,,,Not Required,True,True,False,True,,All,Has Basic Training,,Friendly,1,0,2016-12-03 00:00:00+00:00,2016-11-28 00:00:00+00:00,5.0
43750,10833428,Male,,,Young,7 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,,False,True,True,All,,,,1,0,2016-12-03 00:00:00+00:00,2016-11-28 00:00:00+00:00,5.0
43754,10833466,Female,,,Young,7 Years 10 Months,Siamese / Mixed (short coat),Tabby Point,,,,Not Required,False,True,False,True,,All,Has Basic Training,,Friendly,1,0,2016-12-02 00:00:00+00:00,2016-11-28 00:00:00+00:00,4.0
43761,1083351,Female,,Medium,Baby,14 Years 2 Months,Domestic Short Hair / Torbie (short coat),gray striped torbie,,,,,,True,False,True,True,,,,Friendly,1,0,2008-12-13 00:00:00+00:00,2008-12-11 00:00:00+00:00,2.0
