,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
2,10000193,Male,14.0,Large,Adult,8 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,5,0,2016-08-13 00:00:00+00:00,2016-05-17 00:00:00+00:00,88.0
9,10000236,Female,,,Adult,10 Years 6 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-06-25 00:00:00+00:00,2016-05-14 00:00:00+00:00,42.0
10,10000242,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),White w/calico,,,,,False,True,False,True,,,,,,2,0,2016-05-28 00:00:00+00:00,2016-05-14 00:00:00+00:00,14.0
11,10000252,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),Tabby w/white,,,,,False,True,False,True,,,,,,2,0,2016-05-28 00:00:00+00:00,2016-05-14 00:00:00+00:00,14.0
20,10000959,Male,,Medium,Adult,,Domestic Short Hair (short coat),,,,,,,,,,,,,,,1,0,2016-06-11 00:00:00+00:00,2016-05-13 00:00:00+00:00,29.0
21,10001332,Female,,Medium,Young,,Domestic Medium Hair (medium coat),tabby w/white,,,,,,,,,,,,,,0,0,2016-05-19 00:00:00+00:00,2016-05-14 00:00:00+00:00,5.0
22,1000166,Male,,Small,,16 Years 6 Months,Domestic Short Hair - black and white,,,,,,,True,False,True,,,,,Friendly,1,0,2008-11-07 00:00:00+00:00,2008-11-07 00:00:00+00:00,0.0
23,1000173,Male,,,,16 Years 6 Months,Domestic Short Hair - black and white (short coat),,,,,,,True,False,True,,,,,Friendly,1,0,2008-11-07 00:00:00+00:00,2008-11-04 00:00:00+00:00,3.0
30,10002465,Male,,Medium,Young,,Domestic Long Hair (long coat),tabby with white,,,,,,,,,,,,,,1,0,2016-05-20 00:00:00+00:00,2016-05-14 00:00:00+00:00,6.0
31,10002563,Male,,Medium,Young,,Domestic Medium Hair (medium coat),orange tabby,,,,,,,,,,,,,,1,0,2016-05-24 00:00:00+00:00,2016-05-14 00:00:00+00:00,10.0
32,10003743,Female,10.0,Medium,Adult,14 Years 8 Months,Calico / Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-11-09 00:00:00+00:00,2016-05-14 00:00:00+00:00,179.0
36,10003771,Female,,Medium,Adult,,Domestic Short Hair (short coat),torbi,,,,,,,,,,,,,,1,0,2016-06-10 00:00:00+00:00,2016-05-14 00:00:00+00:00,27.0
51,10004167,Male,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,3,0,2016-07-10 00:00:00+00:00,2016-06-01 00:00:00+00:00,39.0
52,10004171,Female,,,Young,9 Years 1 Month,Domestic Medium Hair (medium coat),& White Tabby,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,2,0,2016-07-08 00:00:00+00:00,2016-06-30 00:00:00+00:00,8.0
53,10004172,Female,,,Young,9 Years 1 Month,Domestic Medium Hair (medium coat),,,Moderate,Moderate,,False,,False,,True,All,,Species,Friendly,2,0,2016-07-15 00:00:00+00:00,2016-06-30 00:00:00+00:00,15.0
54,10004173,Female,,,Young,9 Years 1 Month,Domestic Short Hair (short coat),,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,5,0,2017-01-28 00:00:00+00:00,2016-06-30 00:00:00+00:00,212.0
55,10004174,Female,,,Young,9 Years 1 Month,Domestic Short Hair (medium coat),,,Moderate,,,False,,False,,True,All,,Species,Protective,2,0,2016-07-20 00:00:00+00:00,2016-06-30 00:00:00+00:00,20.0
56,10004175,Female,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,4,0,2016-06-17 00:00:00+00:00,2016-06-01 00:00:00+00:00,16.0
60,10004197,Male,,Small,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,5,2,2016-07-15 00:00:00+00:00,2016-06-01 00:00:00+00:00,44.0
61,10004198,Male,,Small,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,4,0,2016-07-12 00:00:00+00:00,2016-06-01 00:00:00+00:00,41.0
64,10004201,Female,,Small,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,6,1,2016-08-01 00:00:00+00:00,2016-06-01 00:00:00+00:00,61.0
65,10004202,Female,,Small,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,4,0,2016-08-01 00:00:00+00:00,2016-06-01 00:00:00+00:00,61.0
72,10004535,Female,7.0,Medium,Adult,8 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-06-29 00:00:00+00:00,2016-05-30 00:00:00+00:00,30.0
73,10004536,Female,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-06-17 00:00:00+00:00,2016-05-30 00:00:00+00:00,18.0
74,10004538,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-06-17 00:00:00+00:00,2016-05-30 00:00:00+00:00,18.0
75,10004540,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-06-22 00:00:00+00:00,2016-05-30 00:00:00+00:00,23.0
76,10004542,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-06-18 00:00:00+00:00,2016-05-30 00:00:00+00:00,19.0
78,10004670,Female,8.0,Medium,Adult,8 Years 1 Month,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-11-22 00:00:00+00:00,2016-06-10 00:00:00+00:00,165.0
79,10004682,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Bobtail / Mixed (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-06-12 00:00:00+00:00,2016-06-10 00:00:00+00:00,2.0
80,10004683,Female,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-06-12 00:00:00+00:00,2016-06-10 00:00:00+00:00,2.0
81,10004685,Female,2.5,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Bobtail / Mixed (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-06-12 00:00:00+00:00,2016-06-10 00:00:00+00:00,2.0
82,10004687,Female,1.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-06-12 00:00:00+00:00,2016-06-10 00:00:00+00:00,2.0
84,1000472,Male,2.0,Small,,14 Years 3 Months,Domestic Short Hair,Black,,,,,,True,False,True,True,,,,Friendly,1,0,2008-12-23 00:00:00+00:00,2008-10-30 00:00:00+00:00,54.0
95,1000477,Female,2.0,Small,,14 Years 3 Months,Calico (medium coat),Calico,,,,,,True,False,True,True,,,,Friendly,2,0,2008-12-06 00:00:00+00:00,2008-10-30 00:00:00+00:00,37.0
108,1000481,Male,2.0,Medium,,14 Years 3 Months,Domestic Medium Hair (medium coat),White with Gray,,,,,,True,False,True,True,,,,Friendly,2,0,2008-12-06 00:00:00+00:00,2008-10-30 00:00:00+00:00,37.0
135,10005211,Female,,,,8 Years 2 Months,Calico,,,,,,False,,False,,True,,,,,4,0,2016-07-16 00:00:00+00:00,2016-06-22 00:00:00+00:00,24.0
136,10005215,Male,,,,8 Years 2 Months,Siamese,,,,,,False,,False,,True,,,,,4,0,2016-06-29 00:00:00+00:00,2016-06-22 00:00:00+00:00,7.0
146,10005283,Female,7.0,Small,Young,10 Years 4 Months,Siamese / Domestic Short Hair / Mixed (short coat),Chocolate point,,,,,False,True,False,True,True,,,,,1,0,2016-05-15 00:00:00+00:00,2016-05-06 00:00:00+00:00,9.0
182,10005782,Female,3.0,Small,Baby,8 Years 3 Months,Bombay / Mixed (short coat),,,,,,False,True,False,True,True,,,,,4,1,2016-08-28 00:00:00+00:00,2016-06-20 00:00:00+00:00,69.0
219,10006368,Male,,,Young,6 Years 8 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,8,3,2017-05-22 00:00:00+00:00,2016-06-29 00:00:00+00:00,327.0
221,10006370,Male,,,Baby,6 Years 8 Months,Domestic Medium Hair (medium coat),,,,,,False,True,False,True,,,,,,3,0,2016-06-26 00:00:00+00:00,2016-06-18 00:00:00+00:00,8.0
222,10006384,Female,,,Adult,7 Years 3 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2017-04-14 00:00:00+00:00,2016-06-11 00:00:00+00:00,307.0
241,10006944,Male,,Small,Baby,9 Years 5 Months,Domestic Medium Hair / Mixed,,,,,,,,,True,True,,,,,3,0,2016-07-18 00:00:00+00:00,2016-05-31 00:00:00+00:00,48.0
259,10007142,Female,,Medium,Baby,9 Years 1 Month,Domestic Short Hair / Tabby (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-11-21 00:00:00+00:00,2016-06-15 00:00:00+00:00,159.0
261,10007145,Female,,Medium,Baby,9 Years 1 Month,Domestic Short Hair / Tabby (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-10-26 00:00:00+00:00,2016-06-15 00:00:00+00:00,133.0
272,10007183,Male,,,Baby,8 Years 4 Months,Domestic Medium Hair (medium coat),,,Moderate,,,False,True,False,,,All,,,Friendly,3,0,2016-05-15 00:00:00+00:00,2016-05-10 00:00:00+00:00,5.0
277,10007419,Female,,Medium,Baby,8 Years 4 Months,Domestic Medium Hair (medium coat),,,Moderate,Moderate,Moderate,False,True,False,True,,,,,Friendly,4,0,2016-05-22 00:00:00+00:00,2016-05-10 00:00:00+00:00,12.0
279,10007431,Female,,,Baby,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),"black, orange, white",Some,,Moderate,Not Required,False,True,False,True,,All,,,Friendly,1,0,2016-08-18 00:00:00+00:00,2016-07-29 00:00:00+00:00,20.0
280,10007432,Female,,,Young,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),,Some,,Moderate,,False,True,False,True,,All,,,,4,0,2017-03-18 00:00:00+00:00,2016-08-25 00:00:00+00:00,205.0
281,10007433,Female,,,Baby,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),light brown with orange on back,Quiet,,Moderate,,False,True,False,True,,All,,,,8,0,2016-08-21 00:00:00+00:00,2016-07-29 00:00:00+00:00,23.0
282,10007434,Male,,,Baby,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),,Some,,Moderate,,False,True,False,True,,All,,,Cautious,1,0,2016-08-11 00:00:00+00:00,2016-07-29 00:00:00+00:00,13.0
283,10007435,Female,,,Baby,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),2 light orange spots on her back,Quiet,,Moderate,,False,True,False,True,,All,,,Friendly,5,0,2016-08-16 00:00:00+00:00,2016-07-29 00:00:00+00:00,18.0
284,10007436,Female,,,Adult,6 Years 6 Months,Domestic Short Hair / Mixed,"Gray, orange and white",,,Moderate,,False,True,False,True,,All,,,Cautious,8,1,2019-08-08 00:00:00+00:00,2016-07-29 00:00:00+00:00,1105.0
286,10007440,Male,,Medium,Baby,8 Years 4 Months,Domestic Medium Hair (medium coat),,,Moderate,Moderate,,False,True,False,True,True,All,,,Friendly,4,0,2016-05-15 00:00:00+00:00,2016-05-10 00:00:00+00:00,5.0
311,10007730,Female,,,Baby,6 Years 7 Months,Siamese / Snowshoe / Mixed (short coat),,,,,,False,True,False,True,,,,,,3,0,2016-07-09 00:00:00+00:00,2016-07-01 00:00:00+00:00,8.0
312,10007731,Male,,,Baby,6 Years 7 Months,Siamese / Snowshoe / Mixed (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-07-30 00:00:00+00:00,2016-07-21 00:00:00+00:00,9.0
313,10007733,Female,,,Baby,6 Years 7 Months,Siamese / Snowshoe / Mixed (medium coat),,,,,,False,True,False,True,,,,,,6,0,2016-08-27 00:00:00+00:00,2016-08-09 00:00:00+00:00,18.0
315,10007743,Male,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),Tabby & White,,,,,False,True,False,True,,,,,,2,0,2016-08-20 00:00:00+00:00,2016-06-27 00:00:00+00:00,54.0
414,10009245,Female,0.800000011920929,,Baby,10 Years,Domestic Short Hair (short coat),Gray & black striped w/ white belly,Some,,High,High,False,True,False,True,,All,Has Basic Training,,Friendly,5,0,2016-07-16 00:00:00+00:00,2016-06-07 00:00:00+00:00,39.0
453,10009962,Male,,Medium,Young,9 Years 6 Months,Domestic Long Hair (long coat),,,,,,False,,False,,True,All,,,Friendly,2,0,2016-05-15 00:00:00+00:00,2016-05-15 00:00:00+00:00,0.0
454,10009964,Female,,Small,Young,7 Years,Domestic Short Hair (short coat),,,,,,False,,False,,True,All,,,,2,0,2016-05-15 00:00:00+00:00,2016-05-13 00:00:00+00:00,2.0
455,10009967,Male,,,,6 Years 10 Months,Domestic Short Hair,,,,,,False,,False,,True,All,,,Friendly,2,0,2016-05-15 00:00:00+00:00,2016-05-13 00:00:00+00:00,2.0
458,10009978,Male,,Small,Baby,6 Years 9 Months,Domestic Short Hair (short coat),,,,,,False,,False,,,,,,,2,0,2016-05-15 00:00:00+00:00,2016-05-13 00:00:00+00:00,2.0
459,10009984,Male,,Small,Baby,6 Years 9 Months,Domestic Short Hair (short coat),,,,,,False,,False,,,,,,,2,0,2016-05-15 00:00:00+00:00,2016-05-13 00:00:00+00:00,2.0
475,10010227,Female,,,Senior,20 Years 11 Months,Ragdoll / Domestic Long Hair / Mixed (long coat),,,,Low,,False,,False,True,,All,,,Friendly,2,0,2016-08-24 00:00:00+00:00,2016-05-16 00:00:00+00:00,100.0
552,10011122,Male,,,Baby,6 Years 8 Months,Domestic Short Hair,,,,,,,,,True,True,All,,,,3,0,2016-06-28 00:00:00+00:00,2016-05-21 00:00:00+00:00,38.0
595,10011486,Female,10.0,Medium,Adult,14 Years 6 Months,American Shorthair / Mixed,,,,,,,,,False,,,,,,2,0,2016-06-01 00:00:00+00:00,2016-05-17 00:00:00+00:00,15.0
597,10011497,Male,15.0,Medium,Adult,14 Years 6 Months,American Shorthair / Mixed,,,,,,,,,True,,,,,,3,0,2016-06-05 00:00:00+00:00,2016-05-17 00:00:00+00:00,19.0
639,10012572,Female,,Medium,Baby,10 Years 1 Month,Domestic Long Hair / Siamese / Mixed (long coat),Cream with gray ear tips and tail,Some,,Moderate,,False,True,False,True,True,All,,Breed,Cautious,2,0,2016-08-06 00:00:00+00:00,2016-08-01 00:00:00+00:00,5.0
643,10012657,Male,,Medium,Adult,11 Years 2 Months,Tabby / Mixed (short coat),,Some,Moderate,Moderate,Low,False,True,False,True,,All,Has Basic Training,Species,Friendly,6,0,2016-06-10 00:00:00+00:00,2016-05-13 00:00:00+00:00,28.0
644,10012669,Female,,,Baby,10 Years 1 Month,Domestic Short Hair / Mixed (short coat),,Some,Moderate,High,Moderate,False,,False,True,True,All,Has Basic Training,Species,Friendly,5,0,2016-08-06 00:00:00+00:00,2016-05-25 00:00:00+00:00,73.0
647,10012707,Female,,Medium,Baby,10 Years 1 Month,Tabby / Mixed (short coat),,Some,Moderate,High,Low,False,,False,True,True,All,Has Basic Training,Species,Friendly,5,0,2016-08-06 00:00:00+00:00,2016-05-25 00:00:00+00:00,73.0
650,10012896,Female,,,Young,9 Years 4 Months,Maine Coon / Norwegian Forest Cat / Mixed,,,,,,False,True,,True,,,,,,4,0,2016-06-26 00:00:00+00:00,2016-05-08 00:00:00+00:00,49.0
651,10012898,Male,,,Baby,8 Years 6 Months,Maine Coon / Domestic Medium Hair,,,,,,False,True,,True,,,,,,3,0,2016-06-26 00:00:00+00:00,2016-05-23 00:00:00+00:00,34.0
670,10013510,Male,,Medium,Baby,10 Years 1 Month,Domestic Short Hair / Siamese / Mixed (short coat),Cream with gray ear tips and tail,Some,,Moderate,,False,True,False,True,True,All,,Breed,Cautious,5,0,2016-09-03 00:00:00+00:00,2016-08-01 00:00:00+00:00,33.0
712,10013969,Male,2.5,Small,Baby,6 Years 8 Months,Domestic Medium Hair / Tabby / Mixed (medium coat),Silver and white patched,,,,,False,True,False,True,True,,,,,2,0,2016-06-14 00:00:00+00:00,2016-05-17 00:00:00+00:00,28.0
713,10013987,Male,2.0,Small,Baby,6 Years 8 Months,Domestic Medium Hair / Tabby / Mixed (medium coat),Dark gray and white,,,,,False,True,False,True,True,,,,,2,0,2016-06-14 00:00:00+00:00,2016-05-17 00:00:00+00:00,28.0
727,10014482,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Mixed (medium coat),,,,,,False,True,False,True,True,,,,,14,0,2016-06-16 00:00:00+00:00,2016-05-18 00:00:00+00:00,29.0
767,10015595,Female,,,Baby,6 Years 7 Months,Domestic Short Hair / Calico (short coat),,Some,,High,High,False,True,False,True,True,All,Has Basic Training,,Friendly,4,0,2016-08-06 00:00:00+00:00,2016-06-18 00:00:00+00:00,49.0
768,10015632,Female,,,Baby,6 Years 7 Months,Domestic Short Hair / Mixed (short coat),Light Siamese mix,Quiet,,Moderate,,False,True,False,True,,All,,,,9,0,2016-09-02 00:00:00+00:00,2016-07-08 00:00:00+00:00,56.0
769,10015633,Male,,,Baby,6 Years 7 Months,Siamese / Mixed,,,,,,False,True,False,True,,,,,,4,0,2016-07-08 00:00:00+00:00,2016-07-05 00:00:00+00:00,3.0
783,10015748,Female,,,Baby,8 Years 9 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,True,True,False,True,,All,Has Basic Training,,Friendly,2,0,2016-11-12 00:00:00+00:00,2016-07-01 00:00:00+00:00,134.0
795,10015796,Male,,Large,Adult,14 Years 9 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,False,True,True,All,,,Friendly,0,0,2016-05-07 00:00:00+00:00,2016-02-02 00:00:00+00:00,95.0
797,10016038,Male,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,3,0,2016-08-24 00:00:00+00:00,2016-06-10 00:00:00+00:00,75.0
798,10016039,Male,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,3,0,2016-09-19 00:00:00+00:00,2016-06-10 00:00:00+00:00,101.0
799,10016041,Male,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-06-17 00:00:00+00:00,2016-06-10 00:00:00+00:00,7.0
800,10016043,Female,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Torbie / Mixed (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-07-16 00:00:00+00:00,2016-06-10 00:00:00+00:00,36.0
801,10016045,Female,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tortoiseshell / Mixed (short coat),,,,,,False,True,False,True,True,,,,,3,0,2016-08-14 00:00:00+00:00,2016-06-10 00:00:00+00:00,65.0
802,10016047,Female,2.0,Medium,Baby,6 Years 8 Months,Domestic Short Hair / Tiger / Mixed (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-09-30 00:00:00+00:00,2016-06-10 00:00:00+00:00,112.0
840,10016877,Female,1.5,Small,Baby,6 Years 8 Months,Russian Blue / Domestic Medium Hair / Mixed (medium coat),,,,,,False,True,False,True,True,,,,,2,0,2016-07-09 00:00:00+00:00,2016-05-18 00:00:00+00:00,52.0
895,10017860,Female,9.0,Medium,Adult,8 Years 3 Months,Domestic Long Hair / Calico / Mixed (long coat),,,,,,False,True,,True,,All,,,,1,0,2016-06-18 00:00:00+00:00,2016-05-21 00:00:00+00:00,28.0
907,10018219,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Long Hair / Mixed (long coat),,,,,,False,True,False,True,,All,,,,2,0,2016-05-30 00:00:00+00:00,2016-05-28 00:00:00+00:00,2.0
908,10018220,Male,2.5,Medium,Baby,6 Years 8 Months,Domestic Long Hair / Mixed (long coat),white,,,,,False,True,False,True,,All,,,,2,0,2016-06-04 00:00:00+00:00,2016-05-28 00:00:00+00:00,7.0
932,10018724,Male,2.299999952316284,Medium,Baby,6 Years 9 Months,Tabby (long coat),,,High,High,Moderate,False,,False,True,True,All,,,Friendly,0,0,2016-07-01 00:00:00+00:00,2016-06-07 00:00:00+00:00,24.0
936,10018759,Male,1.7000000476837158,Medium,Baby,6 Years 9 Months,Tabby (long coat),,,High,High,Moderate,False,,False,,True,All,,,,0,0,2016-07-01 00:00:00+00:00,2016-06-08 00:00:00+00:00,23.0
977,10019739,Male,,Medium,Young,8 Years 8 Months,Domestic Short Hair (short coat),,,,,,False,True,False,,True,All,,,Friendly,3,0,2016-06-19 00:00:00+00:00,2016-05-20 00:00:00+00:00,30.0
1003,10019993,Female,,Small,Adult,14 Years 10 Months,Tortoiseshell (short coat),,,,,,False,True,False,True,True,,,,,5,0,2016-07-09 00:00:00+00:00,2016-05-19 00:00:00+00:00,51.0
1011,10020342,Male,,Medium,Baby,10 Years 1 Month,Domestic Long Hair / Mixed (long coat),Fluffy gray,Some,,Moderate,,False,True,False,True,True,All,,Breed,Cautious,4,0,2016-08-27 00:00:00+00:00,2016-08-09 00:00:00+00:00,18.0
1012,10020362,Female,2.0,Small,Baby,6 Years 9 Months,American Shorthair / Mixed,,,,,,,,,True,,,,,,5,0,2016-06-09 00:00:00+00:00,2016-06-03 00:00:00+00:00,6.0
1014,10020386,Male,3.0,Small,Baby,6 Years 9 Months,Tabby / Mixed,,,,,,,,,True,,,,,,3,0,2016-06-09 00:00:00+00:00,2016-06-03 00:00:00+00:00,6.0
1015,10020390,Female,,Medium,Baby,10 Years 1 Month,Domestic Short Hair / Mixed (short coat),Gray,Some,,Moderate,,False,True,False,True,True,All,,Breed,Cautious,4,0,2016-08-27 00:00:00+00:00,2016-08-09 00:00:00+00:00,18.0
1016,10020397,Male,,Medium,Baby,10 Years 1 Month,Domestic Short Hair / Mixed (short coat),White with gray patches,Some,,Moderate,,False,True,False,True,True,All,,Breed,Cautious,3,0,2016-09-04 00:00:00+00:00,2016-08-09 00:00:00+00:00,26.0
1020,10020449,Male,,Medium,Adult,15 Years 1 Month,Domestic Medium Hair (medium coat),,,,,,False,,False,True,,,,,,6,0,2017-06-26 00:00:00+00:00,2016-05-19 00:00:00+00:00,403.0
1024,10020668,Female,,Small,Adult,8 Years 6 Months,Dilute Calico (short coat),,,,,,,,,,,,,,Cautious,1,0,2016-06-10 00:00:00+00:00,2016-05-18 00:00:00+00:00,23.0
1026,10020685,Male,,Small,Baby,6 Years 8 Months,Domestic Medium Hair (medium coat),,,,,,,,,,,,,,,0,0,2016-05-24 00:00:00+00:00,2016-05-18 00:00:00+00:00,6.0
1030,10020711,Female,,Small,Baby,6 Years 8 Months,Domestic Medium Hair (medium coat),,,,,,,,,,,,,,,0,0,2016-05-24 00:00:00+00:00,2016-05-18 00:00:00+00:00,6.0
1032,10020723,Male,,Small,Baby,6 Years 8 Months,Domestic Medium Hair (medium coat),,,,,,,,,,,,,,,0,0,2016-05-25 00:00:00+00:00,2016-05-18 00:00:00+00:00,7.0
1035,10020737,Male,,Small,Baby,6 Years 8 Months,Domestic Medium Hair (medium coat),,,,,,,,,,,,,,,0,0,2016-05-25 00:00:00+00:00,2016-05-18 00:00:00+00:00,7.0
1047,10021030,Female,,,Adult,,Domestic Short Hair (short coat),,,,,,,,,,,,,,,1,0,2016-06-09 00:00:00+00:00,2016-05-18 00:00:00+00:00,22.0
1048,10021254,Female,,Medium,Adult,,Domestic Short Hair (short coat),tabby with white,,,,,,,,,,,,,,1,0,2016-05-25 00:00:00+00:00,2016-05-18 00:00:00+00:00,7.0
1075,10021735,Female,,Large,Senior,,Manx (medium coat),,,,,,,,,True,True,,,,Cautious,1,0,2016-05-26 00:00:00+00:00,2016-05-19 00:00:00+00:00,7.0
1080,10021767,Male,,Large,Senior,,Maine Coon (long coat),black & tan tabby,Lots,,,,,,,True,True,,,,,1,0,2017-02-11 00:00:00+00:00,2016-12-15 00:00:00+00:00,58.0
1082,10021801,Male,,,Young,9 Years 1 Month,Domestic Short Hair (short coat),Gray stripes on head,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,4,1,2016-06-15 00:00:00+00:00,2016-06-15 00:00:00+00:00,0.0
1083,10021804,Male,,,Young,9 Years 1 Month,Domestic Short Hair (short coat),Black Stripes,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,5,0,2016-06-15 00:00:00+00:00,2016-06-15 00:00:00+00:00,0.0
1084,10021805,Female,7.0,Small,Young,8 Years 6 Months,Tuxedo (short coat),,,,,,False,True,,True,,,,,,8,0,2016-06-11 00:00:00+00:00,2016-05-19 00:00:00+00:00,23.0
1088,10021822,Female,2.0,Small,Baby,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),blk white tuxedo,,,,,False,True,False,True,True,,,,,3,0,2016-06-05 00:00:00+00:00,2016-06-04 00:00:00+00:00,1.0
1089,10021830,Male,2.0,Small,Baby,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),solid black,,,,,False,True,False,True,True,,,,,2,0,2016-06-05 00:00:00+00:00,2016-06-04 00:00:00+00:00,1.0
1091,10021833,Female,2.0,Small,Baby,6 Years 10 Months,Domestic Short Hair / Russian Blue / Mixed (short coat),Gray,,,,,False,True,False,True,True,,,,,4,0,2016-06-04 00:00:00+00:00,2016-06-04 00:00:00+00:00,0.0
1092,10021840,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,8,0,2016-06-25 00:00:00+00:00,2016-05-19 00:00:00+00:00,37.0
1093,10021842,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,6,0,2016-06-27 00:00:00+00:00,2016-05-19 00:00:00+00:00,39.0
1094,10021845,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,6,0,2016-06-25 00:00:00+00:00,2016-05-19 00:00:00+00:00,37.0
1095,10021846,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,6,0,2016-06-11 00:00:00+00:00,2016-05-19 00:00:00+00:00,23.0
1096,10021848,Male,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,7,1,2016-06-17 00:00:00+00:00,2016-05-19 00:00:00+00:00,29.0
1097,10021856,Female,2.0,Small,Baby,9 Years 10 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-05-27 00:00:00+00:00,2016-05-19 00:00:00+00:00,8.0
1098,10021858,Female,9.0,Small,Adult,11 Years 1 Month,Calico / Torbie / Mixed (short coat),,,,,,False,True,False,True,True,,,,,9,0,2016-12-16 00:00:00+00:00,2016-05-19 00:00:00+00:00,211.0
1102,10022096,Male,9.0,Medium,Young,10 Years 4 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,True,False,True,True,,,,,4,0,2016-05-26 00:00:00+00:00,2016-05-19 00:00:00+00:00,7.0
